x,y,s
体育系统,15.38,1
高等院校,3.91,1
中专中技,0.1,1
中小学,13.55,1
教育系统,94.12,1
其他系统,26.64,1
体育系统,0.1,2
高等院校,0.1,2
中专中技,0.1,2
中小学,5.91,2
教育系统,0.1,2
其他系统,2.12,2
体育系统,0.1,3
高等院校,4.48,3
中专中技,0.1,3
中小学,10.11,3
教育系统,0.1,3
其他系统,9.65,3
