Ineed
"[120.3744164,31.54422715],"
"[120.3681368,31.56540562],"
"[120.3471978,31.56227995],"
"[120.4200701,31.54203357],"
"[nan,nan],"
"[120.3751843,31.522876],"
"[120.4672704,31.48988556],"
"[nan,nan],"
"[120.3828239,31.477134],"
"[120.3705432,31.54784131],"
"[120.3573356,31.54843743],"
"[120.396189,31.5095935],"
"[120.4389126,31.54143644],"
"[120.351363,31.54207385],"
"[120.4589613,31.4596755],"
"[120.5020297,31.51838111],"
"[120.3329813,31.56618775],"
"[120.3893421,31.56094543],"
"[120.4511005,31.47799912],"
"[120.4399456,31.47060371],"
"[120.3778149,31.57221108],"
"[120.4901294,31.49104063],"
"[120.4351079,31.51449033],"
"[120.3701681,31.55550786],"
"[120.3864942,31.5431716],"
"[120.3207532,31.57475379],"
"[120.5010691,31.52731944],"
"[120.35785,31.675276],"
"[120.4042875,31.57003733],"
"[120.3650946,31.55193363],"
"[120.383722,31.557555],"
"[120.352721,31.540727],"
"[120.346776,31.572082],"
"[120.50943,31.511515],"
"[120.437362,31.538738],"
"[120.375782,31.540907],"
"[120.430991,31.533656],"
"[120.363613,31.559609],"
"[120.455773,31.48847],"
"[120.385603,31.56515],"
"[120.347302,31.572281],"
"[120.357668,31.536126],"
"[120.405493,31.552714],"
"[120.38751,31.519144],"
"[120.3509,31.536823],"
"[120.347168,31.572252],"
"[120.347257,31.57237],"
"[120.347266,31.572303],"
"[120.35084,31.53667],"
"[120.34336,31.571057],"
"[120.4200701,31.54203357],"
"[nan,nan],"
"[120.3751843,31.522876],"
"[nan,nan],"
"[120.3828239,31.477134],"
"[120.396189,31.5095935],"
"[120.4589613,31.4596755],"
"[120.4399456,31.47060371],"
"[120.4901294,31.49104063],"
"[120.4351079,31.51449033],"
"[120.3207532,31.57475379],"
"[120.5010691,31.52731944],"
"[120.4042875,31.57003733],"
