Ineed
"[120.3527577,31.54325488],"
"[120.341654,31.56775222],"
"[120.4901294,31.49104063],"
"[120.4399456,31.47060371],"
"[120.396189,31.5095935],"
"[120.4331451,31.5140835],"
"[120.3483156,31.562626],"
"[120.4042875,31.57003733],"
"[120.3346672,31.57136144],"
"[120.3168978,31.57606531],"
"[120.389757,31.55917786],"
"[120.4706058,31.48706583],"
"[120.4610968,31.50169025],"
"[120.4247203,31.54212217],"
"[120.3828239,31.477134],"
"[120.3788745,31.57152114],"
"[120.4589613,31.4596755],"
"[120.3688697,31.56520585],"
"[120.4511005,31.47799912],"
"[120.3662145,31.55204039],"
"[120.3305907,31.56054411],"
"[120.3270927,31.57500027],"
"[120.37673,31.52422888],"
"[120.35785,31.675276],"
"[120.5013893,31.52434],"
"[120.3204413,31.56367375],"
"[nan,nan],"
"[120.373869,31.54563442],"
"[120.4406523,31.54123056],"
"[120.3507587,31.55684014],"
"[120.383008,31.560514],"
"[120.361901,31.539103],"
"[120.390369,31.46074],"
"[120.339518,31.566303],"
"[120.527052,31.493329],"
"[120.346105,31.535963],"
"[120.38402,31.558099],"
"[120.532095,31.489863],"
"[120.378953,31.555833],"
"[120.415388,31.585756],"
"[120.366116,31.56261],"
"[120.506744,31.492327],"
"[120.390388,31.460654],"
"[120.339829,31.555995],"
"[120.367359,31.562668],"
"[120.485224,31.491661],"
"[120.390839,31.524098],"
"[120.4399456,31.47060371],"
"[120.4331451,31.5140835],"
"[120.4042875,31.57003733],"
"[120.3168978,31.57606531],"
"[120.4610968,31.50169025],"
"[120.4247203,31.54212217],"
"[120.3828239,31.477134],"
"[120.4589613,31.4596755],"
"[120.4511005,31.47799912],"
"[120.35785,31.675276],"
"[120.5013893,31.52434],"
"[120.3204413,31.56367375],"
"[nan,nan],"
"[120.4406523,31.54123056],"
