x,y,s
1995,32,1
1996,29,1
1997,88,1
1998,173,1
1999,130,1
2000,311,1
2001,331,1
2002,700,1
2003,875,1
2004,1189,1
2005,1181,1
2006,2084,1
2007,2400,1
2008,3985,1
2009,3534,1
2010,4026,1
2011,4116,1
2012,6531,1
2013,5465,1
2014,6578.2,2
2015,6484.14,2
2016,7058.91,2
2017,7263.14,2
2018,7672.65,2
2019,7968.43,2
2020,8327.23,2
2014,6578.21,1
2015,6484.14,1
2016,7058.91,1
2017,7263.14,1
2018,7672.65,1
2019,7968.44,1
2020,8327.23,1
