lat,lng
31.5356031176,120.433963824
31.5182095,120.5001235
31.4791817143,120.380066857
31.478531625,120.450697542
31.5409685625,120.374271031
31.54216025,120.418662917
31.546938,120.447656833
31.5261486667,120.507143333
31.46754575,120.45758825
31.5278226,120.4964696
31.5591778571,120.389757048
31.5566768889,120.367433
31.510029,120.394869182
31.5708430556,120.377054389
31.526937375,120.50141425
31.54343472,120.43882832
31.477678,120.394359333
31.4715189231,120.439633308
31.5622799474,120.347197842
31.5700373333,120.4042875
31.57449072,120.31926752
31.5676463571,120.332560893
,
31.5136995,120.435762929
31.4568143333,120.453789667
31.4773324286,120.388623143
31.491040625,120.490129375
31.471349,120.364189667
31.5443011,120.3534534
31.4898855556,120.467270444
