lat,lng
31.5438388421,120.353441
31.5330952308,120.444818308
31.574668,120.315167125
31.5669071,120.3411967
31.5038086667,120.432615667
31.577462625,120.3186285
31.477134,120.38282385
31.5240883077,120.498629385
31.52025125,120.50638
31.512871,120.411197
31.524114,120.429886833
31.4596755,120.45896125
31.50079,120.392421
31.5280718889,120.503798444
31.5319868,120.3823572
31.564751,120.388723286
31.563679375,120.360845375
31.5123638571,120.395998286
31.5713614444,120.334667222
31.5527665882,120.367991118
31.5594172308,120.347714231
31.5455044167,120.373379875
31.546938,120.447656833
31.5461794,120.4396238
31.5183345,120.37136025
31.4779991154,120.4511005
31.54664075,120.431141875
31.4898855556,120.467270444
31.5694402222,120.374320833
31.5621978462,120.326631
31.4846825714,120.497484571
31.4706037143,120.439945571
31.4931227143,120.485539214
31.5365385,120.434021357
31.49971475,120.4946965
,
31.5756722,120.3271817
31.542667,120.417607
31.555633,120.389204909
31.5700373333,120.4042875
