lat,lng
31.5531366667,120.367383667
31.5475707273,120.435531818
,
31.5508335,120.3544305
31.56879875,120.37231475
31.5576334286,120.391524
31.5719645,120.31581775
31.5406695714,120.443674571
31.4937196667,120.469726333
31.520186,120.462588
31.521905375,120.501778375
31.5499526667,120.368571667
31.5766065714,120.319201857
31.5770155,120.406175
31.5279044667,120.500872333
31.5603068,120.3513374
31.540789,120.415871
31.4727661429,120.441549143
31.4596755,120.45896125
31.5654073333,120.358395667
31.563103,120.403986
31.52684675,120.42072925
31.5689026667,120.3241
31.5356433333,120.4417545
31.5658022,120.3665038
31.5242913333,120.374103167
31.4961525,120.487602
31.478694,120.453448867
31.566771,120.3358405
31.5785882,120.3145362
31.4684412857,120.438342
31.5666358571,120.345247
31.48407125,120.47025875
31.5480005,120.3477455
31.4943598,120.4841854
31.4909285,120.4840615
31.54020125,120.3830425
31.5680686667,120.404359
31.54325325,120.372059375
31.5706156,120.33419
31.4770515455,120.447898182
31.562128,120.388131857
31.5643395,120.331717
31.519754,120.517279
31.5461108333,120.375504
31.5038086667,120.432615667
,
31.5218035,120.437510833
31.495763,120.45761
31.479149625,120.380734
31.5145386667,120.497639667
31.56906725,120.40819075
31.565872,120.389995
31.5689,120.339885333
31.5637835,120.31836
31.5719448,120.381816
31.5576498,120.3453042
,
31.5407235,120.43777675
,
31.5423786667,120.352875333
31.5744896,120.3741342
31.545361,120.41879325
31.5163045,120.385576
31.5480515,120.372107667
31.548716,120.4228265
31.5086344444,120.396934333
31.56586,120.400262
31.5485363333,120.444756333
31.547479,120.3584976
31.5544726667,120.384831667
31.581933,120.4060675
31.471349,120.364189667
,
31.4772706667,120.390892889
31.5336928571,120.434432
,
31.571623,120.404415
31.54639,120.393301
31.5464123333,120.449784667
31.5663755,120.3969695
31.4828046,120.4977274
31.56098425,120.3253765
31.557741,120.366290667
31.5610658,120.375005
31.4919666667,120.488390667
31.573802,120.335213333
31.4934468,120.4953838
31.5417076667,120.354942333
31.53974,120.349755
,
,
31.5402953333,120.430873833
31.5601055,120.338905
,
,
31.547766,120.36706425
31.5760912222,120.327629
31.5578606667,120.331799667
,
