lat,lng,id,label1,label2,type,value
31.55313667,120.3673837,1,1,2,1,1
31.54757073,120.4355318,2,1,2,1,1
,,3,1,2,1,1
31.5508335,120.3544305,4,1,2,1,1
31.56879875,120.3723148,5,1,2,1,1
31.55763343,120.391524,6,1,2,1,1
31.5719645,120.3158178,7,1,2,1,1
31.54066957,120.4436746,8,1,2,1,1
31.49371967,120.4697263,9,1,2,1,1
31.520186,120.462588,10,1,2,1,1
31.52190538,120.5017784,11,1,2,1,1
31.54995267,120.3685717,12,1,2,1,1
31.57660657,120.3192019,13,1,2,1,1
31.5770155,120.406175,14,1,2,1,1
31.52790447,120.5008723,15,1,2,1,1
31.5603068,120.3513374,16,1,2,1,1
31.540789,120.415871,17,1,2,1,1
31.47276614,120.4415491,18,1,2,1,1
31.4596755,120.4589613,19,1,2,1,1
31.56540733,120.3583957,20,1,2,1,1
31.563103,120.403986,21,1,2,1,1
31.52684675,120.4207293,22,1,2,1,1
31.56890267,120.3241,23,1,2,1,1
31.53564333,120.4417545,24,1,2,1,1
31.5658022,120.3665038,25,1,2,1,1
31.52429133,120.3741032,26,1,2,1,1
31.4961525,120.487602,27,1,2,1,1
31.478694,120.4534489,28,1,2,1,1
31.566771,120.3358405,29,1,2,1,1
31.5785882,120.3145362,30,1,2,1,1
31.46844129,120.438342,31,1,2,1,1
31.56663586,120.345247,32,1,2,1,1
31.48407125,120.4702588,33,1,2,1,1
31.5480005,120.3477455,34,1,2,1,1
31.4943598,120.4841854,35,1,2,1,1
31.4909285,120.4840615,36,1,2,1,1
31.54020125,120.3830425,37,1,2,1,1
31.56806867,120.404359,38,1,2,1,1
31.54325325,120.3720594,39,1,2,1,1
31.5706156,120.33419,40,1,2,1,1
31.47705155,120.4478982,41,1,2,1,1
31.562128,120.3881319,42,1,2,1,1
31.5643395,120.331717,43,1,2,1,1
31.519754,120.517279,44,1,2,1,1
31.54611083,120.375504,45,1,2,1,1
31.50380867,120.4326157,46,1,2,1,1
,,47,1,2,1,1
31.5218035,120.4375108,48,1,2,1,1
31.495763,120.45761,49,1,2,1,1
31.47914963,120.380734,50,1,2,1,1
31.51453867,120.4976397,51,1,2,1,1
31.56906725,120.4081908,52,1,2,1,1
31.565872,120.389995,53,1,2,1,1
31.5689,120.3398853,54,1,2,1,1
31.5637835,120.31836,55,1,2,1,1
31.5719448,120.381816,56,1,2,1,1
31.5576498,120.3453042,57,1,2,1,1
,,58,1,2,1,1
31.5407235,120.4377768,59,1,2,1,1
,,60,1,2,1,1
31.54237867,120.3528753,61,1,2,1,1
31.5744896,120.3741342,62,1,2,1,1
31.545361,120.4187933,63,1,2,1,1
31.5163045,120.385576,64,1,2,1,1
31.5480515,120.3721077,65,1,2,1,1
31.548716,120.4228265,66,1,2,1,1
31.50863444,120.3969343,67,1,2,1,1
31.56586,120.400262,68,1,2,1,1
31.54853633,120.4447563,69,1,2,1,1
31.547479,120.3584976,70,1,2,1,1
31.55447267,120.3848317,71,1,2,1,1
31.581933,120.4060675,72,1,2,1,1
31.471349,120.3641897,73,1,2,1,1
,,74,1,2,1,1
31.47727067,120.3908929,75,1,2,1,1
31.53369286,120.434432,76,1,2,1,1
,,77,1,2,1,1
31.571623,120.404415,78,1,2,1,1
31.54639,120.393301,79,1,2,1,1
31.54641233,120.4497847,80,1,2,1,1
31.5663755,120.3969695,81,1,2,1,1
31.4828046,120.4977274,82,1,2,1,1
31.56098425,120.3253765,83,1,2,1,1
31.557741,120.3662907,84,1,2,1,1
31.5610658,120.375005,85,1,2,1,1
31.49196667,120.4883907,86,1,2,1,1
31.573802,120.3352133,87,1,2,1,1
31.4934468,120.4953838,88,1,2,1,1
31.54170767,120.3549423,89,1,2,1,1
31.53974,120.349755,90,1,2,1,1
,,91,1,2,1,1
,,92,1,2,1,1
31.54029533,120.4308738,93,1,2,1,1
31.5601055,120.338905,94,1,2,1,1
,,95,1,2,1,1
,,96,1,2,1,1
31.547766,120.3670643,97,1,2,1,1
31.57609122,120.327629,98,1,2,1,1
31.55786067,120.3317997,99,1,2,1,1
31.5488115,120.365259,100,1,2,1,1
31.57272,120.327843,101,2,2,1,1
31.568543,120.374561,102,2,2,1,1
31.561332,120.368113,103,2,2,1,1
31.538762,120.350992,104,2,2,1,1
31.470938,120.380177,105,2,2,1,1
31.470829,120.44693,106,2,2,1,1
31.534022,120.434918,107,2,2,1,1
31.546208,120.382152,108,2,2,1,1
31.533765,120.43167,109,2,2,1,1
