x,y,s
2010,8.7,3
2011,7.1,3
2012,6.6,3
2013,4.3,3
2014,3,3
2015,3.2,3
2016,3.7,3
2017,5.1,3
2010,12.48,1
2011,10.59,1
2012,9.65,1
2013,6.98,1
2014,7.32,1
2015,6.46,1
2016,5.95,1
2017,2.29,1
2010,10.76,2
2011,9.57,2
2012,9.04,2
2013,7.25,2
2014,8.66,2
2015,7.26,2
2016,4.77,2
2017,10.91,2
