x,y,s
游泳馆,17,室内
篮球馆,11,室内
羽毛球馆,24,室内
乒乓球馆,202,室内
健身房,168,室内
台球馆,76,室内
摔跤馆,3,室内
轮滑场,2,室内
体操房,2,室内
综合馆,9,室内
射箭场,1,室内
其他类,4,室内
