x,y,s
2000,5122,室内
2001,14722,室内
2002,26053,室内
2003,13649,室内
2004,23203,室内
2005,36569,室内
2006,25576,室内
2007,41654,室内
2008,140061,室内
2009,49068,室内
2010,55047,室内
2011,34048,室内
2012,132387,室内
2013,83340,室内
2000,0,室外
2001,0,室外
2002,0,室外
2003,5000,室外
2004,4000,室外
2005,2663,室外
2006,600,室外
2007,0,室外
2008,2400,室外
2009,1450,室外
2010,2000,室外
2011,200,室外
2012,2613,室外
2013,2000,室外
