x,y,s
运动场,17,室外
篮球场,183,室外
小篮球场,40,室外
排球场,30,室外
网球场,16,室外
羽毛球场,19,室外
乒乓球场,50,室外
门球场,12,室外
其他类,18,室外
健身步道,24,室外
