x,y,s
矩阵私教,9.3,室内
迈乐缔,8.1,室内
普拉提,9.3,室内
斐林克,8.4,室内
中健,8.1,室内
半球,7.8,室内
OSFIT,8.5,室内
橄榄绿,7.2,室内
银座,7.2,室内
英派斯,7.2,室内
半球,7.5,室内
百特,6.9,室内
橄榄绿,8,室内
银吉姆,7.7,室内
星悦,8.7,室内
美洲,8.1,室内
瑞港,7.6,室内
