id,x,y,s,label
1,体育系统,5261,1,1
2,高等院校,540,1,1
3,中专技校,0,1,1
4,中小学,35258,1,1
5,教育系统,916,1,1
6,其他系统,82072,1,1
7,小运动场,3962,1,2
8,游泳池,1500,1,2
9,射箭场,76,1,2
10,足球场,650,1,2
11,篮球场,4030,1,2
12,排球场,521,1,2
13,棒垒球场,3386,1,2
14,乒乓球场,539,1,2
15,体育馆,5322,1,3
16,游泳馆,2850,1,3
17,综合馆,4266,1,3
18,篮球馆,3125,1,3
19,羽毛球馆,4869,1,3
20,乒乓球馆,3062,1,3
21,健身房,5858,1,3
22,台球房,370,1,3
