id,x,y,s,label
1,住宅区,16227,1,0
2,工业区,20388,1,0
3,绿化区,69153,1,0
4,商业区,8110,1,0
5,住宅区,5915,1,1
6,工业区,5054,1,1
7,绿化区,6807,1,1
8,商业区,2400,1,1
9,住宅区,3315,1,2
10,工业区,6112,1,2
11,绿化区,13100,1,2
12,商业区,1560,1,2
13,住宅区,743,1,3
14,工业区,807,1,3
15,绿化区,15657,1,3
16,商业区,321,1,3
17,住宅区,2066,1,4
18,工业区,3708,1,4
19,绿化区,6087,1,4
20,商业区,1033,1,4
21,住宅区,4165,1,5
22,工业区,4695,1,5
23,绿化区,27324,1,5
24,商业区,2034,1,5
