id,dotid,lat,lng,value,info,type,name,label1,label2
1,1,31.544066,120.365782,109,区域1<br/>场地数量：109,ok,点1,2,8
2,2,31.540066,120.424782,19,区域2<br/>场地数量：19,ok,点2,2,8
3,3,31.530066,120.485782,5,区域3<br/>场地数量：5,ok,点3,2,8
4,4,31.475066,120.424782,12,区域4<br/>场地数量：12,ok,点4,2,8
5,5,31.475066,120.484782,34,区域5<br/>场地数量：34,ok,点5,2,8
