id,dotid,lat,lng,value,info,type,name,label1,label2
1,1,31.555006,120.347974,25,学校体育场<br/>新吴区第一实验学校,1,学校体育场,2,4
2,2,31.486058,120.495266,25,学校体育场<br/>新吴区后宅中学,1,学校体育场,2,4
3,3,31.543347,120.425613,25,学校体育场<br/>无锡市新吴区无锡市梅里中学,1,学校体育场,2,4
4,4,31.56225,120.387471,25,学校体育场<br/>无锡市新城中学坊前校区,1,学校体育场,2,4
5,5,31.552979,120.377648,25,学校体育场<br/>无锡市第三高级中学,1,学校体育场,2,4
6,6,31.551417,120.37579,25,学校体育场<br/>无锡新吴区国际学校,1,学校体育场,2,4
7,7,31.537947,120.43614,25,学校体育场<br/>江苏省梅村高级中学,1,学校体育场,2,4
8,8,31.463871,120.443407,25,学校体育场<br/>无锡市硕放中学,1,学校体育场,2,4
9,9,31.480743,120.37619,25,学校体育场<br/>东南大学无锡分校,1,学校体育场,2,4
